Name,Titel,Anmerkungen,Reihe,Personen,Erscheinungsort: Verlag,Erscheinungsjahr,Auflage,Verlag,Address,Description,URL_WorldCat,Inhalt,TimeStamp,fshop,isoLand,iso2Sprache,Latitude,Longitude,WorldCat_ID,WorldCat_Link
German romance. 2 ; Hoffmann&comma;Richter ; translations from the German with biographical and critical notices ; in two volumes.,German romance. 2 ; Hoffmann&comma;Richter ; translations from the German with biographical and critical notices ; in two volumes.,Thomas Carlyle.,The works of Thomas Carlyle 22,Carlyle&comma;Thomas; Musäus&comma;Johann Karl August; Hoffmann&comma;E.T.A.,London: Chapman and Hall,1974,Reprinted from the Centenary ed. of 1898&comma;London&comma;1. AMS ed.&comma;2. printing,Chapman and Hall,London,<b>German romance.</b> 2 ; Hoffmann&comma;Richter ; translations from the German with biographical and critical notices ; in two volumes.<br>London: Chapman and Hall 1974. Reprinted from the Centenary ed. of 1898&comma;London&comma;1. AMS ed.&comma;2. printing Carlyle&comma;Thomas; Musäus&comma;Johann Karl August; Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1067777851" target="_blank">(OCoLC)1067777851</a>,,1974,SVAut,GBR,eng,51.507222222222,-0.1275,(OCoLC)1067777851,http://www.worldcat.org/oclc/1067777851
Lebensansichten des Katers Murr. Meister Floh ; Prinzessin Brambilla ; Klein Zaches genannt Zinnober.,Lebensansichten des Katers Murr. Meister Floh ; Prinzessin Brambilla ; Klein Zaches genannt Zinnober.,E.T.A. Hoffmann ; [hrsg. von Hannsludwig Geiger].,Die Tempel-Klassiker Sämtliche poetischen Werke / E. T. A. Hoffmann; Bd. 3,Hoffmann&comma;E.T.A.; Geiger&comma;Hannsludwig; Hoffmann&comma;E.T.A.,Wiesbaden: Emil Vollmer,[ca 1975],,Emil Vollmer,Wiesbaden,<b>Lebensansichten des Katers Murr.</b> Meister Floh ; Prinzessin Brambilla ; Klein Zaches genannt Zinnober.<br>Wiesbaden: Emil Vollmer [ca 1975]. Hoffmann&comma;E.T.A.; Geiger&comma;Hannsludwig; Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/749747446" target="_blank">(OCoLC)749747446</a>,,1974,LM,DEU,ger,50.0825,8.24,(OCoLC)749747446,http://www.worldcat.org/oclc/749747446
Los elixires del diablo.,Los elixires del diablo.,E.T.A. Hoffman.,,Hoffmann&comma;E.T.A.,Madrid: CVS Ediciones,[1974],,CVS Ediciones,Madrid,<b>Los elixires del diablo.</b><br>Madrid: CVS Ediciones [1974]. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/19349157" target="_blank">(OCoLC)19349157</a>,,1974,ET,ESP,spa,40.416666666666664,-3.7025,(OCoLC)19349157,http://www.worldcat.org/oclc/19349157
Luskáčik a myší král'.,Luskáčik a myší král'.,E.T.A. Hoffmann. Preložila Alena Barlíková.,,Hoffmann&comma;E.T.A.; Barlíková&comma;Alena,Bratislava: Mladé Letá,1974,,Mladé Letá,Bratislava,<b>Luskáčik a myší král'.</b><br>Bratislava: Mladé Letá 1974. Hoffmann&comma;E.T.A.; Barlíková&comma;Alena.,<a href="http://www.worldcat.org/oclc/246625199" target="_blank">(OCoLC)246625199</a>,,1974,NM,SVK,slv,48.144722222222,17.112777777778,(OCoLC)246625199,http://www.worldcat.org/oclc/246625199
Opetlikke ülestähendusi kouts Murri sulest.,Opetlikke ülestähendusi kouts Murri sulest.,E.T.A. Hoffmann. Tolk. Aino Toomaspoeg.,,Hoffmann&comma;E.T.A.; Toomaspoeg&comma;Aino,Tallinn: &quot;Eesti Raamat&quot;,1974,,&quot;Eesti Raamat&quot;,Tallinn,<b>Opetlikke ülestähendusi kouts Murri sulest.</b><br>Tallinn: &quot;Eesti Raamat&quot; 1974. Hoffmann&comma;E.T.A.; Toomaspoeg&comma;Aino.,<a href="http://www.worldcat.org/oclc/249245638" target="_blank">(OCoLC)249245638</a>,,1974,LM,EST,est,59.437222222222,24.745,(OCoLC)249245638,http://www.worldcat.org/oclc/249245638
Rat Krespel. Die Fermate ; Don Juan.,Rat Krespel. Die Fermate ; Don Juan.,E.T.A. Hoffmann ; mit einem Nachwort von Josef Kunz.,Universal-Bibliothek (Stuttgart&comma;Germany); Nr. 5274.,Hoffmann&comma;E.T.A.,Stuttgart: Reclam,1974,,Reclam,Stuttgart,<b>Rat Krespel.</b> Die Fermate ; Don Juan.<br>Stuttgart: Reclam 1974. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1078419863" target="_blank">(OCoLC)1078419863</a>,,1974,RK,DEU,ger,48.7775,9.18,(OCoLC)1078419863,http://www.worldcat.org/oclc/1078419863
Tales of E.T.A. Hoffmann.,Tales of E.T.A. Hoffmann.,Edited and translated by Leonard J. Kent and Elizabeth C. Knight ; illustrated by Jacob Landou.,,Hoffmann&comma;E.T.A.; Kent&comma;Leonard J.; Knight&comma;Elizabeth C.,Chicago: University of Chicago Press,1974,,University of Chicago Press,Chicago,<b>Tales of E.T.A. Hoffmann.</b><br>Chicago: University of Chicago Press 1974. Hoffmann&comma;E.T.A.; Kent&comma;Leonard J.; Knight&comma;Elizabeth C.,<a href="http://www.worldcat.org/oclc/219857151" target="_blank">(OCoLC)219857151</a>,,1974,a2a,USA,eng,41.85003,-87.65005,(OCoLC)219857151,http://www.worldcat.org/oclc/219857151
The nutcracker.,The nutcracker.,Retold by Toshiko Yamanushi ; illustrated by Seiichi Horiuchi ; English version by Alvin Tresselt.,,Yamanushi&comma;Toshiko; Horiuchi&comma;Seiichi; Tresselt&comma;Alvin; et al.,New York: Parents' Magazine Press,©1974,,Parents' Magazine Press,New York,<b>The nutcracker.</b><br>New York: Parents' Magazine Press ©1974. Yamanushi&comma;Toshiko; Horiuchi&comma;Seiichi; Tresselt&comma;Alvin; et al.,<a href="http://www.worldcat.org/oclc/886326" target="_blank">(OCoLC)00886326</a>,,1974,NM,USA,eng,40.7,-74,(OCoLC)00886326,http://www.worldcat.org/oclc/886326
Werke.,Werke.,E.T.A. Hoffmann ; hrsg. von Friedrich Schnapp.,Dichter über ihre Dichtungen; 13,Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Schnapp&comma;Friedrich,München: Heimeran,1974,,Heimeran,München,<b>Werke.</b><br>München: Heimeran 1974. Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Schnapp&comma;Friedrich.,<a href="http://www.worldcat.org/oclc/489783131" target="_blank">(OCoLC)489783131</a>,,1974,a2a,DEU,ger,48.1375,11.575,(OCoLC)489783131,http://www.worldcat.org/oclc/489783131
Werke in zwei Bänden. 1 ; Romane / [mit ... Anmerkungen von Wolfgang Kron].,Werke in zwei Bänden. 1 ; Romane / [mit ... Anmerkungen von Wolfgang Kron].,E.T.A. Hoffmann. [Nach dem Text der Erstausg. unter Hinzuziehung der Ausg. von Carl Georg von Maasen und Georg Ellinger&comma;mit einem Nachw. von Walter Müller-Seidel und Anmerkungen von ...].,,Hoffmann&comma;E.T.A.; Kron&comma;Wolfgang,Zürich: Buchclub Ex Libris,1974,,Buchclub Ex Libris,Zürich,<b>Werke in zwei Bänden.</b> 1 ; Romane / [mit ... Anmerkungen von Wolfgang Kron].<br>Zürich: Buchclub Ex Libris 1974. Hoffmann&comma;E.T.A.; Kron&comma;Wolfgang.,<a href="http://www.worldcat.org/oclc/315124735" target="_blank">(OCoLC)315124735</a>,,1974,a2a,CHE,ger,47.37444444444444,8.54111111111111,(OCoLC)315124735,http://www.worldcat.org/oclc/315124735
Werke in zwei Bänden. 2 ; Erzählungen und Märchen / [mit ... Anmerkungen von Wulf Segebrecht].,Werke in zwei Bänden. 2 ; Erzählungen und Märchen / [mit ... Anmerkungen von Wulf Segebrecht].,E.T.A. Hoffmann. [Nach dem Text der Erstausg. unter Hinzuziehung der Ausg. von Carl Georg von Maasen und Georg Ellinger&comma;mit einem Nachw. von Walter Müller-Seidel und Anmerkungen von ...].,,Hoffmann&comma;E.T.A.; Segebrecht&comma;Wulf,Zürich: Buchclub Ex Libris,1974,,Buchclub Ex Libris,Zürich,<b>Werke in zwei Bänden.</b> 2 ; Erzählungen und Märchen / [mit ... Anmerkungen von Wulf Segebrecht].<br>Zürich: Buchclub Ex Libris 1974. Hoffmann&comma;E.T.A.; Segebrecht&comma;Wulf.,<a href="http://www.worldcat.org/oclc/315124766" target="_blank">(OCoLC)315124766</a>,,1974,a2a,CHE,ger,47.37444444444444,8.54111111111111,(OCoLC)315124766,http://www.worldcat.org/oclc/315124766
蚤の親方&comma;最期の物語集2. Nomi no oyakata saigo no monogatarishū ni.,蚤の親方&comma;最期の物語集2. Nomi no oyakata saigo no monogatarishū ni.,,Hoffmann zensyū; 9,Hoffmann&comma;E.T.A.; Fukada&comma;Hajime,Tōkyō: Sōdosha,1974,,Sōdosha,Tōkyō,<b>蚤の親方&comma;最期の物語集2.</b><br>Tōkyō: Sōdosha 1974. Hoffmann&comma;E.T.A.; Fukada&comma;Hajime.,<a href="http://www.worldcat.org/oclc/33553262" target="_blank">(OCoLC)33553262</a>,,1974,a2a,JPN,jpn,35.689722222222,139.69222222222,(OCoLC)33553262,http://www.worldcat.org/oclc/33553262
黄金の壺. Kogane no tsubo.,黄金の壺. Kogane no tsubo.,ホフマン作 ; 神品芳夫訳. Ernst Theodor Amadeus Hoffmann ; Kōshina Yoshio yaku.,Iwanami bunko,Hoffmann&comma;E.T.A.; Kōshina&comma;Yoshio,Tōkyō: Iwanami Shoten,1974,,Iwanami Shoten,Tōkyō,<b>黄金の壺.</b><br>Tōkyō: Iwanami Shoten 1974. Hoffmann&comma;E.T.A.; Kōshina&comma;Yoshio.,<a href="http://www.worldcat.org/oclc/33553092" target="_blank">(OCoLC)33553092</a>,,1974,GT,JPN,jpn,35.689722222222,139.69222222222,(OCoLC)33553092,http://www.worldcat.org/oclc/33553092
Contes fantastiques.,Contes fantastiques.,E.T.A Hoffmann. Aquarelles orig. de Gilbert L'Héritier.,,Hoffmann&comma;E.T.A.; L'Héritier&comma;Gilbert,Paris: Éd. André Vial,1973,,Éd. André Vial,Paris,<b>Contes fantastiques.</b><br>Paris: Éd. André Vial 1973. Hoffmann&comma;E.T.A.; L'Héritier&comma;Gilbert.,<a href="http://www.worldcat.org/oclc/254415859" target="_blank">(OCoLC)254415859</a>,,1973,a2a,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)254415859,http://www.worldcat.org/oclc/254415859
Cuentos fantásticos.,Cuentos fantásticos.,E.T.A. Hoffmann ; traducción&comma;José Lleonart.,Ediciones Huracán,Hoffmann&comma;E.T.A.,Havana: Editorial de Arte y Literatura; Instituto Cubano del Libro,1973,,Editorial de Arte y Literatura; Instituto Cubano del Libro,Havana,<b>Cuentos fantásticos.</b><br>Havana: Editorial de Arte y Literatura; Instituto Cubano del Libro 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1854760" target="_blank">(OCoLC)01854760</a>,Mademoiselle de Scudéry.<br>Antonia canta.<br>El tonelero de Nürenberg.<br>La puerta tapiada.,1973,a2a,CUB,spa,23.136666666667,-82.358888888889,(OCoLC)01854760,http://www.worldcat.org/oclc/1854760
Das Fräulein von Scuderi.,Das Fräulein von Scuderi.,E.T.A. Hoffmann. Von Holger Hartmann. [Zeichn.: Gerhard Ullmann. Vignetten: Walter Rieck].,Lesen leicht gemacht,Hoffmann&comma;E.T.A.,Stuttgart: Klett,1973,Vereinfachte Fassung. 1. Aufl.,Klett,Stuttgart,<b>Das Fräulein von Scuderi.</b><br>Stuttgart: Klett 1973. Vereinfachte Fassung. 1. Aufl. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/721537087" target="_blank">(OCoLC)721537087</a>,,1973,FS,DEU,ger,48.7775,9.18,(OCoLC)721537087,http://www.worldcat.org/oclc/721537087
Das Fräulein von Scuderi. Erzählung aus dem Zeitalter Ludwig des Vierzehnten.,Das Fräulein von Scuderi. Erzählung aus dem Zeitalter Ludwig des Vierzehnten.,E.T.A. Hoffmann ; mit einem Nachwort.,Universal-Bibliothek; Nr. 25,Hoffmann&comma;E.T.A.,Stuttgart: Philipp Reclam jun.,dr. 1973,,Philipp Reclam jun.,Stuttgart,<b>Das Fräulein von Scuderi.</b> Erzählung aus dem Zeitalter Ludwig des Vierzehnten.<br>Stuttgart: Philipp Reclam jun. dr. 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1014091822" target="_blank">(OCoLC)1014091822</a>,,1973,FS,DEU,ger,48.7775,9.18,(OCoLC)1014091822,http://www.worldcat.org/oclc/1014091822
Der goldene Topf. Ein Märchen aus der neuen Zeit.,Der goldene Topf. Ein Märchen aus der neuen Zeit.,E.T.A. Hoffmann.,Bb; 281,Hoffmann&comma;E.T.A.,Berlin: Aufbau Verlag,1973,,Aufbau Verlag,Berlin,<b>Der goldene Topf.</b> Ein Märchen aus der neuen Zeit.<br>Berlin: Aufbau Verlag 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/249162540" target="_blank">(OCoLC)249162540</a>,,1973,GT,DEU,ger,52.516666666667,13.383333333333,(OCoLC)249162540,http://www.worldcat.org/oclc/249162540
Der goldne Topf. E. Märchen aus d. neuen Zeit.,Der goldne Topf. E. Märchen aus d. neuen Zeit.,E.T.A. Hoffmann.,Bb; 281,Hoffmann&comma;E.T.A.,Weimar&comma;Berlin: Aufbau Verlag,1973,1. Aufl.,Aufbau Verlag,Weimar&comma;Berlin,<b>Der goldne Topf.</b> E. Märchen aus d. neuen Zeit.<br>Weimar&comma;Berlin: Aufbau Verlag 1973. 1. Aufl. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/74266258" target="_blank">(OCoLC)74266258</a>,,1973,GT,DEU,ger,50.983333333333,11.316666666667,(OCoLC)74266258,http://www.worldcat.org/oclc/74266258
Der goldne Topf. Ein Märchen aus der neuen Zeit ; vorangestellt das vollständig und faksimiliert wiedergegebene Skizzenbuch von Fritz Fischer&comma;welches er 1958 zeichnete und 1960 vervollständigte und überarbeitete.,Der goldne Topf. Ein Märchen aus der neuen Zeit ; vorangestellt das vollständig und faksimiliert wiedergegebene Skizzenbuch von Fritz Fischer&comma;welches er 1958 zeichnete und 1960 vervollständigte und überarbeitete.,E.T.A. Hoffmann.,,Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Fischer&comma;Fritz,Frankfurt am Main: Büchergilde Gutenberg,1973,,Büchergilde Gutenberg,Frankfurt am Main,<b>Der goldne Topf.</b> Ein Märchen aus der neuen Zeit ; vorangestellt das vollständig und faksimiliert wiedergegebene Skizzenbuch von Fritz Fischer&comma;welches er 1958 zeichnete und 1960 vervollständigte und überarbeitete.<br>Frankfurt am Main: Büchergilde Gutenberg 1973. Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Fischer&comma;Fritz.,<a href="http://www.worldcat.org/oclc/263560591" target="_blank">(OCoLC)263560591</a>,,1973,GT,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)263560591,http://www.worldcat.org/oclc/263560591
Der goldne Topf. Ein Märchen aus der neuen Zeit.,Der goldne Topf. Ein Märchen aus der neuen Zeit.,E.T.A. Hoffmann ; mit einem Nachwort von Konrad Nussbächer.,,Hoffmann&comma;E.T.A.; Nussbächer&comma;Konrad,Stuttgart: P. Reclam,1973,,P. Reclam,Stuttgart,<b>Der goldne Topf.</b> Ein Märchen aus der neuen Zeit.<br>Stuttgart: P. Reclam 1973. Hoffmann&comma;E.T.A.; Nussbächer&comma;Konrad.,<a href="http://www.worldcat.org/oclc/891214687" target="_blank">(OCoLC)891214687</a>,,1973,GT,DEU,ger,48.7775,9.18,(OCoLC)891214687,http://www.worldcat.org/oclc/891214687
Der Sandmann&comma;und&comma;Das ode Haus. Nachtstucke.,Der Sandmann&comma;und&comma;Das ode Haus. Nachtstucke.,Herausgegeben von Manfred Wacker.,,Hoffmann&comma;E.T.A.,Stuttgart: Reclam,1973,,Reclam,Stuttgart,<b>Der Sandmann&comma;und&comma;Das ode Haus.</b> Nachtstucke.<br>Stuttgart: Reclam 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/59115677" target="_blank">(OCoLC)59115677</a>,,1973,a2a,DEU,ger,48.7775,9.18,(OCoLC)59115677,http://www.worldcat.org/oclc/59115677
Die Elixiere des Teufels. Klein Zaches.,Die Elixiere des Teufels. Klein Zaches.,E.T.A. Hoffmann.,Goldmanns gelbe Taschenbücher; 456/57,Hoffmann&comma;E.T.A.,München: W. Goldman,1973?,,W. Goldman,München,<b>Die Elixiere des Teufels.</b> Klein Zaches.<br>München: W. Goldman 1973?. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/926075147" target="_blank">(OCoLC)926075147</a>,,1973,ET,DEU,ger,48.1375,11.575,(OCoLC)926075147,http://www.worldcat.org/oclc/926075147
Il vaso d'oro e altri racconti.,Il vaso d'oro e altri racconti.,E.T.A. Hoffmann. Versione di Ervino Pocar.,I grandi libri Garzanti; 30,Hoffmann&comma;E.T.A.; Pocar&comma;Ervino,Milano: Garzanti,1973,2. ed.,Garzanti,Milano,<b>Il vaso d'oro e altri racconti.</b><br>Milano: Garzanti 1973. 2. ed. Hoffmann&comma;E.T.A.; Pocar&comma;Ervino.,<a href="http://www.worldcat.org/oclc/630380135" target="_blank">(OCoLC)630380135</a>,,1973,a2a,ITA,fre,45.466944444444,9.19,(OCoLC)630380135,http://www.worldcat.org/oclc/630380135
La principessa Brambilla.,La principessa Brambilla.,E.T.A. Hoffmann ; nota introduttiva di Claudio Magris ; traduzione di Alberto Spaini.,Centopagine; 22,Hoffmann&comma;E.T.A.,Torino: Einaudi,1973,,Einaudi,Torino,<b>La principessa Brambilla.</b><br>Torino: Einaudi 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/800208825" target="_blank">(OCoLC)800208825</a>,,1973,PB,ITA,ita,45.066666666667,7.7,(OCoLC)800208825,http://www.worldcat.org/oclc/800208825
Lo siniestro.,Lo siniestro.,Sigmund Freud ; El hombre de la arena / E.T.A. Hoffmann.,Textos Paralelos,Freud&comma;Sigmund; Hoffmann&comma;E.T.A.,Buenos Aires: Ediciones NOÉ,1973,,Ediciones NOÉ,Buenos Aires,<b>Lo siniestro.</b><br>Buenos Aires: Ediciones NOÉ 1973. Freud&comma;Sigmund; Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/124063380" target="_blank">(OCoLC)124063380</a>,,1973,SVAut,ARG,spa,-34.599722222222,-58.381944444444,(OCoLC)124063380,http://www.worldcat.org/oclc/124063380
Märchen.,Märchen.,Ernst Theodor Amadeus Hoffmann ; mit einem nachwort herausgegeben von Gerhard Seidel ; mit 17 zeichnungen von E.T.A. Hoffmann.,Universal-bibliothek; 25,Hoffmann&comma;E.T.A.,Leipzig: Philipp Reclam jun.,1973,,Philipp Reclam jun.,Leipzig,<b>Märchen.</b><br>Leipzig: Philipp Reclam jun. 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/3908575" target="_blank">(OCoLC)03908575</a>,,1973,a2a,DEU,ger,51.34,12.375,(OCoLC)03908575,http://www.worldcat.org/oclc/3908575
Rat Krespel. [Erzählung].,Rat Krespel. [Erzählung].,Original-Radierungen von Jan Jedlicka.,Kammerdruck des Daphnis-Verlages; 7 Erato-Reihe; 4,Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Jedlicka&comma;Jan; et al.,Erlenbach: (Daphnis-Verlag),1973,,(Daphnis-Verlag),Erlenbach,<b>Rat Krespel.</b> [Erzählung].<br>Erlenbach: (Daphnis-Verlag) 1973. Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Jedlicka&comma;Jan; et al.,<a href="http://www.worldcat.org/oclc/78392719" target="_blank">(OCoLC)78392719</a>,,1973,RK,CHE,ger,47.304444444444,8.5922222222222,(OCoLC)78392719,http://www.worldcat.org/oclc/78392719
Spukgeschichten und Märchen.,Spukgeschichten und Märchen.,E.T.A. Hoffmann.,Goldmann Gelbe Taschenbücher; Bd.553,Hoffmann&comma;E.T.A.,München: Wilhelm Goldmann Verlag,1973,,Wilhelm Goldmann Verlag,München,<b>Spukgeschichten und Märchen.</b><br>München: Wilhelm Goldmann Verlag 1973. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/493166657" target="_blank">(OCoLC)493166657</a>,Der goldne Topf Die Abenteuer der Silvesternacht Der Sandmann Nussknacker und Mausekönig,1973,a2a,DEU,ger,48.1375,11.575,(OCoLC)493166657,http://www.worldcat.org/oclc/493166657
Žitejskite văzgledi na kotaraka Mur. Ili fragmentarna biografija na kapelmajstora Jochanes Krajsler vărchu slučajni makulaturni lista ; roman.,Žitejskite văzgledi na kotaraka Mur. Ili fragmentarna biografija na kapelmajstora Jochanes Krajsler vărchu slučajni makulaturni lista ; roman.,Ernst Teodor Amadeus Chofman. Prevel ot nemski Sašo Dalov.,Biblioteka političeska satira,Hoffmann&comma;E.T.A.; Dalow&comma;Nemski Sascho,Sofija: Izdat. na Otečestvenija Front,1973,1. izd.,Izdat. na Otečestvenija Front,Sofija,<b>Žitejskite văzgledi na kotaraka Mur.</b> Ili fragmentarna biografija na kapelmajstora Jochanes Krajsler vărchu slučajni makulaturni lista ; roman.<br>Sofija: Izdat. na Otečestvenija Front 1973. 1. izd. Hoffmann&comma;E.T.A.; Dalow&comma;Nemski Sascho.,<a href="http://www.worldcat.org/oclc/816263736" target="_blank">(OCoLC)816263736</a>,,1973,LM,BGR,bul,42.697886,23.321726,(OCoLC)816263736,http://www.worldcat.org/oclc/816263736
こどもの世界文学. Kodomo no sekai bungaku. 16(ドイツ編2)&comma;クルミわりとネズミの王さま. 16 ; Kurumiwari to nezumi no ōsama.,こどもの世界文学. Kodomo no sekai bungaku. 16(ドイツ編2)&comma;クルミわりとネズミの王さま. 16 ; Kurumiwari to nezumi no ōsama.,神宮輝夫ほか責任編集 ; E.T.A.ホフマン作 ; 大塚勇三訳 ; 赤坂三好絵. Jingū Teruo ; Hoffmann Ernst Theodor Amadeus ; Ōtsuka Yūzō ; Akasaka Miyoshi.,,Jingū&comma;Teruo; Hoffmann&comma;E.T.A.; Ōtsuka&comma;Yūzō; et al.,Tokyo: 講談社,,,講談社,Tokyo,<b>こどもの世界文学.</b> 16(ドイツ編2)&comma;クルミわりとネズミの王さま.<br>Tokyo: 講談社. Jingū&comma;Teruo; Hoffmann&comma;E.T.A.; Ōtsuka&comma;Yūzō; et al.,<a href="http://www.worldcat.org/oclc/672745038" target="_blank">(OCoLC)672745038</a>,,1973,NM,JPN,jpn,35.689722222222,139.69222222222,(OCoLC)672745038,http://www.worldcat.org/oclc/672745038
Aranycserép.,Aranycserép.,E.T.A. Hoffmann. Ford.: Szegő György. [A belső ill. Angi Petrescu-Tipărescu készítette].,Minden gyermek Könyve; 3,Hoffmann&comma;E.T.A.; Szegő&comma;György,Bucureşti: Ion Creangă Könyvkiadó,1972,,Ion Creangă Könyvkiadó,Bucureşti,<b>Aranycserép.</b><br>Bucureşti: Ion Creangă Könyvkiadó 1972. Hoffmann&comma;E.T.A.; Szegő&comma;György.,<a href="http://www.worldcat.org/oclc/72404056" target="_blank">(OCoLC)72404056</a>,,1972,GT,ROU,hun,44.4,26.083333333333,(OCoLC)72404056,http://www.worldcat.org/oclc/72404056
Cavalerul Gluck şi alte scrieri fantastice.,Cavalerul Gluck şi alte scrieri fantastice.,E.T.A. Hoffmann. Trad. din limba germană de Victor Munteanu.,,Hoffmann&comma;E.T.A.,Bucureşti: Editura Muzicală a Uniunii Compozitorilor,1972,Ed. îngrijita,Editura Muzicală a Uniunii Compozitorilor,Bucureşti,<b>Cavalerul Gluck şi alte scrieri fantastice.</b><br>Bucureşti: Editura Muzicală a Uniunii Compozitorilor 1972. Ed. îngrijita Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/72404182" target="_blank">(OCoLC)72404182</a>,,1972,a2a,ROU,ger,44.4,26.083333333333,(OCoLC)72404182,http://www.worldcat.org/oclc/72404182
Cavalerul Gluck şi alte scrieri fantastice.,Cavalerul Gluck şi alte scrieri fantastice.,E.T.A. Hoffmann ; ed. îngr.&comma;pref. şi adnotată de Richard Münnich ; trad. din lb. germană de Victor Munteanu.,,Hoffmann&comma;E.T.A.; Münnich&comma;Richard; MUNTEANU&comma;Victor,Bucureşti: Editura Muzicală a Uniunii Compozitorilor,1972,,Editura Muzicală a Uniunii Compozitorilor,Bucureşti,<b>Cavalerul Gluck şi alte scrieri fantastice.</b><br>Bucureşti: Editura Muzicală a Uniunii Compozitorilor 1972. Hoffmann&comma;E.T.A.; Münnich&comma;Richard; MUNTEANU&comma;Victor.,<a href="http://www.worldcat.org/oclc/935389168" target="_blank">(OCoLC)935389168</a>,,1972,RG,ROU,rum,44.4,26.083333333333,(OCoLC)935389168,http://www.worldcat.org/oclc/935389168
Cuentos fantásticos.,Cuentos fantásticos.,,,Hoffmann&comma;E.T.A.,México: Editora Nacional,1972,,Editora Nacional,México,<b>Cuentos fantásticos.</b><br>México: Editora Nacional 1972. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/906615020" target="_blank">(OCoLC)906615020</a>,,1972,a2a,MEX,spa,19.419444444444,-99.145555555556,(OCoLC)906615020,http://www.worldcat.org/oclc/906615020
Cuentos fantásticos.,Cuentos fantásticos.,F. [sic] Hoffmann ; [Enrique Palau Claveras&comma;traducción ; Jaime Juez Castellá&comma;ilustraciones interiores].,Historias selección. Serie leyendas y cuentos; 5,Hoffmann&comma;E.T.A.; Palau Claveras&comma;Enrique; Juez i Castellà&comma;Jaume,Barcelona: Bruguera,1972,5a ed. en Historias selección.,Bruguera,Barcelona,<b>Cuentos fantásticos.</b><br>Barcelona: Bruguera 1972. 5a ed. en Historias selección. Hoffmann&comma;E.T.A.; Palau Claveras&comma;Enrique; Juez i Castellà&comma;Jaume.,<a href="http://www.worldcat.org/oclc/805032530" target="_blank">(OCoLC)805032530</a>,,1972,a2a,ESP,spa,41.3825,2.1769444444444,(OCoLC)805032530,http://www.worldcat.org/oclc/805032530
Das Fraulein von Scuderi.,Das Fraulein von Scuderi.,E.T.A. Hoffmann.,Klett. Deutsche Texte,Hoffmann&comma;E.T.A.,Stuttgart: Klett,1972,,Klett,Stuttgart,<b>Das Fraulein von Scuderi.</b><br>Stuttgart: Klett 1972. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/895081246" target="_blank">(OCoLC)895081246</a>,,1972,FS,DEU,ger,48.7775,9.18,(OCoLC)895081246,http://www.worldcat.org/oclc/895081246
Das Fräulein von Scuderi.,Das Fräulein von Scuderi.,E.T.A. Hoffmann ; mit einem Textanhang&comma;zusammengestellt von Juliane Eckhardt.,,Hoffmann&comma;E.T.A.,Stuttgart: Ernst Klett,[1972],[2. Aufl.].,Ernst Klett,Stuttgart,<b>Das Fräulein von Scuderi.</b><br>Stuttgart: Ernst Klett [1972]. [2. Aufl.]. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/3331355" target="_blank">(OCoLC)03331355</a>,,1972,FS,DEU,ger,48.7775,9.18,(OCoLC)03331355,http://www.worldcat.org/oclc/3331355
